filename,url,hostname,ground_truth_topic,ground_truth_intent,ground_truth_format,ground_truth_audience,ground_truth_maturity,ground_truth_orientation,ground_truth_salience,ground_truth_sentiment,ground_truth_entities
article_011.pdf,https://www.cnbc.com/2026/07/15/morgan-stanley-ms-earnings-q2-2026-.html,www.cnbc.com,Business,Report,Article,Professional,Sophisticated,Centrist or politically neutral,Low,Positive,Morgan Stanley:company;Goldman Sachs:company;JPMorgan Chase:company;Ted Pick:executive
article_012.pdf,https://www.cnbc.com/2026/07/15/the-earnings-season-has-kicked-off-can-companies-meet-the-high-bar.html,www.cnbc.com,Business,Analysis,Analysis,Professional,Sophisticated,Centrist or politically neutral,Low,Neutral,JPMorgan Chase:company;Bank of America:company;Citigroup:company;Wells Fargo:company;Goldman Sachs:company;Morgan Stanley:company;IBM:company;FactSet:company;Barclays:company;UnitedHealth:company;Netflix:company;Apple:company;Microsoft:company
article_013.pdf,https://www.cnbc.com/2026/07/15/united-airlines-ual-2q-2026-earnings.html,www.cnbc.com,Business,Report,Article,Professional,Standard,Centrist or politically neutral,Medium,Neutral,United Airlines:company;Delta Air Lines:company;Scott Kirby:executive
article_014.pdf,https://www.cnbc.com/2026/07/16/unitedhealth-group-unh-earnings-q2-2026.html,www.cnbc.com,Business,Report,Article,Professional,Sophisticated,Centrist or politically neutral,Medium,Positive,UnitedHealth Group:company;UnitedHealthcare:company;Optum:company;LSEG:company;StreetAccount:company;Wayne DeVeydt:executive
article_015.pdf,https://www.cnbc.com/2026/07/18/warshgpt-federal-reserve-communications-task-force-warsh.html,www.cnbc.com,Business,Analysis,Feature,Professional,Sophisticated,Centrist or politically neutral,Medium,Neutral,Kevin Warsh:politician;Jerome Powell:politician;Alan Greenspan:politician;F/m Investments:company;UBS:company;JPMorgan Asset Management:company;MacKay Shields:company;Anthropic:company;OpenAI:company;CME:company;Kalshi:company;Alexander Morris:executive
article_016.pdf,https://religionnews.com/2026/07/15/sight-sound-christian-broadway-shows-will-soon-stream-on-faith-based-platform/,religionnews.com,Entertainment,Report,Feature,General Public,Accessible,Centrist or politically neutral,Low,Positive,House of David:movie_or_tv_show;A Great Awakening:movie_or_tv_show;Sight and Sound:company;Wonder Project:company;Amazon:company;Amazon MGM Studios:company;Glenn Eshelman:executive;Kelly Merryman Hoogstraten:executive;Jon Erwin:executive;Ani Haftvani:executive
article_017.pdf,https://variety.com/2026/film/box-office/box-office-hits-flops-michael-supergirl-1236809979/,variety.com,Entertainment,Analysis,Analysis,Professional,Standard,Centrist or politically neutral,Medium,Neutral,Ryan Gosling:actor;Christian Bale:actor;Jessie Buckley:actor;Jacob Elordi:actor;Nate Bargatze:actor;Michael Jackson:musician;The Super Mario Galaxy Movie:movie_or_tv_show;Project Hail Mary:movie_or_tv_show;Michael:movie_or_tv_show;Obsession:movie_or_tv_show;Backrooms:movie_or_tv_show;Supergirl:movie_or_tv_show;Melania:movie_or_tv_show;Star Wars: The Mandalorian and Grogu:movie_or_tv_show;The Bride!:movie_or_tv_show;Hoppers:movie_or_tv_show;The Breadwinner:movie_or_tv_show;28 Years Later: Bone Temple:movie_or_tv_show;Disclosure Day:movie_or_tv_show;Toy Story 5:movie_or_tv_show;The Devil Wears Prada 2:movie_or_tv_show;Illumination:company;Nintendo:company;Amazon MGM Studios:company;Lionsgate:company;Disney:company;Warner Bros.:company;Pixar:company;Rentrak:company;Jeff Bezos:executive
article_018.pdf,https://variety.com/2026/film/festivals/best-of-cannes-2026-20-critics-picks-from-the-cannes-film-festival-1236757147/,variety.com,Entertainment,Review,Analysis,Expert / Specialist,Advanced,Centrist or politically neutral,Low,Positive,Javier Bardem:actor;Sophie Okonedo:actor;Gillian Anderson:actor;Hanns Zischler:actor;Sandra Hüller:actor;Sebastian Stan:actor;Renate Reinsve:actor;Rami Malek:actor;Julia Louis-Dreyfus:actor;Hannah Einbinder:actor;All of a Sudden:movie_or_tv_show;The Beloved:movie_or_tv_show;Clarissa:movie_or_tv_show;Club Kid:movie_or_tv_show;Double Freedom:movie_or_tv_show;Fatherland:movie_or_tv_show;Fjord:movie_or_tv_show;Minotaur:movie_or_tv_show;Paper Tiger:movie_or_tv_show;Tangles:movie_or_tv_show;A24:company;Sony Pictures Classics:company
article_019.pdf,https://variety.com/2026/film/news/3-weeks-after-review-1236803851/,variety.com,Entertainment,Review,Analysis,Informed Reader,Sophisticated,Centrist or politically neutral,Low,Negative,Jovan Ginić:actor;Andrija Marković:actor;Andjela Alavirević:actor;Tihana Lazović:actor;Branislav Trifunović:actor;3 Weeks After:movie_or_tv_show;After Lucia:movie_or_tv_show
article_020.pdf,https://variety.com/2026/film/news/the-furious-review-1236778933/,variety.com,Entertainment,Review,Analysis,Informed Reader,Standard,Centrist or politically neutral,Low,Positive,"Xie Miao:actor;Yang Enyou:actor;Joe Taslim:actor;Yayan Ruhian:actor;The Furious:movie_or_tv_show;The Raid:movie_or_tv_show;Mortal Kombat:movie_or_tv_show;Crouching Tiger, Hidden Dragon:movie_or_tv_show;Lionsgate:company"
article_021.pdf,https://variety.com/2026/film/reviews/evil-dead-burn-review-1236802737/,variety.com,Entertainment,Review,Analysis,Informed Reader,Sophisticated,Centrist or politically neutral,Low,Neutral,Souheila Yacoub:actor;George Pullar:actor;Erroll Shand:actor;Tandi Wright:actor;Maude Davey:actor;Evil Dead Burn:movie_or_tv_show;Evil Dead II:movie_or_tv_show;Night of the Living Dead:movie_or_tv_show;The Hills Have Eyes:movie_or_tv_show
article_022.pdf,https://variety.com/2026/film/reviews/moana-live-action-review-dwayne-johnson-1236802858/,variety.com,Entertainment,Review,Analysis,Informed Reader,Sophisticated,Centrist or politically neutral,Low,Positive,Dwayne Johnson:actor;Catherine Laga'aia:actor;Rena Owen:actor;Jemaine Clement:actor;John Tui:actor;Rachel Zegler:actor;Will Smith:actor;Robin Williams:actor;Moana:movie_or_tv_show;The Lion King:movie_or_tv_show;Beauty and the Beast:movie_or_tv_show;Aladdin:movie_or_tv_show;The Little Mermaid:movie_or_tv_show;Snow White:movie_or_tv_show;Disney:company
article_023.pdf,https://variety.com/2026/film/reviews/motor-city-review-shailene-woodley-ben-foster-1236810506/,variety.com,Entertainment,Review,Analysis,Informed Reader,Sophisticated,Centrist or politically neutral,Low,Positive,Alan Ritchson:actor;Shailene Woodley:actor;Ben Foster:actor;Tim Blake Nelson:actor;Motor City:movie_or_tv_show;Old Henry:movie_or_tv_show;Easy Rider:movie_or_tv_show;Manhunter:movie_or_tv_show;Drive:movie_or_tv_show;Dragged Across Concrete:movie_or_tv_show
article_024.pdf,https://variety.com/2026/film/reviews/the-odyssey-review-christopher-nolan-1236811509/,variety.com,Entertainment,Review,Analysis,Professional,Sophisticated,Centrist or politically neutral,Low,Positive,Matt Damon:actor;Anne Hathaway:actor;Tom Holland:actor;Robert Pattinson:actor;John Leguizamo:actor;Bill Irwin:actor;Samantha Morton:actor;Elliot Page:actor;Zendaya:actor;Lupita Nyong'o:actor;The Odyssey:movie_or_tv_show;Ulysses:movie_or_tv_show
article_025.pdf,https://variety.com/lists/best-movies-of-2026-so-far/,variety.com,Entertainment,Review,Analysis,Informed Reader,Sophisticated,Centrist or politically neutral,Low,Positive,"Seth Rogen:actor;Penélope Cruz:actor;Edward Norton:actor;Kara Young:actor;Mallori Johnson:actor;Sterling K. Brown:actor;Janelle Monae:actor;Vivica A. Fox:actor;Jaeden Martell:actor;Asa Butterfield:actor;Paul Rudd:actor;Nick Jonas:musician;George MacKay:actor;Callum Turner:actor;Tony Leung:actor;Luna Wedler:actor;Johannes Hegemann:actor;Blue Heron:movie_or_tv_show;EPiC: Elvis Presley in Concert:movie_or_tv_show;The Invite:movie_or_tv_show;Is God Is:movie_or_tv_show;Obsession:movie_or_tv_show;Our Hero, Balthazar:movie_or_tv_show;Power Ballad:movie_or_tv_show;Rose of Nevada:movie_or_tv_show;Silent Friend:movie_or_tv_show;Toy Story 5:movie_or_tv_show;The Devil Wears Prada 2:movie_or_tv_show"
article_026.pdf,https://www.eonline.com/news/1432746/sienna-miller-oli-green-engaged-after-welcoming-2nd-baby-together,www.eonline.com,Entertainment,Report,Feature,General Public,Accessible,Centrist or politically neutral,Low,Positive,Sienna Miller:actor;Oli Green:actor;Tom Sturridge:actor;The Tonight Show:movie_or_tv_show
article_027.pdf,https://www.eonline.com/news/1433574/emmys-nominations-full-list-2026,www.eonline.com,Entertainment,Report,Article,General Public,Standard,Centrist or politically neutral,Low,Neutral,Liza Colón-Zayas:actor;Jeff Hiller:actor;Jean Smart:actor;Hannah Einbinder:actor;Paul W. Downs:actor;Meg Stalter:actor;Rhea Seehorn:actor;Karolina Wydra:actor;Carlos Manuel Vesga:actor;Matthew Rhys:actor;Kingston Rumi Southwick:actor;Kate O'Flynn:actor;Stephen Root:actor;Noah Wyle:actor;Katherine LaNasa:actor;Shawn Hatosy:actor;Hacks:movie_or_tv_show;The Pitt:movie_or_tv_show;Widow's Bay:movie_or_tv_show;Pluribus:movie_or_tv_show
article_028.pdf,https://www.eonline.com/news/1433740/emmys-2026-nominations-snubs-and-surprises,www.eonline.com,Entertainment,Analysis,Analysis,General Public,Standard,Centrist or politically neutral,Low,Neutral,Jean Smart:actor;Quinta Brunson:actor;Ayo Edebiri:actor;Elle Fanning:actor;Lisa Kudrow:actor;Noah Wyle:actor;Sterling K. Brown:actor;Mark Ruffalo:actor;Gary Oldman:actor;Rufus Sewell:actor;Zendaya:actor;Chase Infiniti:actor;Carrie Coon:actor;Keri Russell:actor;Liza Colón-Zayas:actor;Jeff Hiller:actor;Hacks:movie_or_tv_show;The Pitt:movie_or_tv_show;Pluribus:movie_or_tv_show;Euphoria:movie_or_tv_show;Shrinking:movie_or_tv_show;The Bear:movie_or_tv_show;Only Murders in the Building:movie_or_tv_show;Love Story: John F. Kennedy Jr. and Carolyn Bessette:movie_or_tv_show
article_029.pdf,https://www.eonline.com/news/1433791/world-cup-2026-halftime-show-details-bts-justin-bieber-to-perform,www.eonline.com,Entertainment,Report,Feature,General Public,Accessible,Centrist or politically neutral,Low,Positive,Jung Kook:musician;J-Hope:musician;Suga:musician;Jin:musician;Jimin:musician;RM:musician;V:musician;Shakira:musician;Madonna:musician;Justin Bieber:musician;Chris Martin:musician;Burna Boy:musician;Live Nation:company;Done + Dusted:company
article_030.pdf,https://apnews.com/article/cuba-dissident-artist-exiled-490cb7cb8e672592ee16593678273a26,apnews.com,Geopolitics,Report,Feature,General Public,Standard,Centrist or politically neutral,High,Positive,Luis Manuel Otero Alcantara:musician;Maykel Osorbo Castillo Perez:musician
article_031.pdf,https://apnews.com/article/hong-kong-us-china-preferential-trade-b0a7e46fac0906bba975e3a1f52ebe7d,apnews.com,Geopolitics,Report,Article,Informed Reader,Sophisticated,Centrist or politically neutral,High,Neutral,Donald Trump:politician;John Lee:politician;Carrie Lam:politician;Xi Jinping:politician
article_032.pdf,https://apnews.com/article/iran-us-hormuz-strait-war-july-20-2026-8b37952906cbec6351fdcc47a0fa6297,apnews.com,Geopolitics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Donald Trump:politician;Marco Rubio:politician;Mohammad Javad Zarif:politician;Masoud Pezeshkian:politician;Eskandar Momeni:politician;Mohsin Naqvi:politician;Shehbaz Sharif:politician
article_033.pdf,https://apnews.com/article/mali-rebels-soldiers-killed-captured-d10c035668be0eaf9174db4c89eca90b,apnews.com,Geopolitics,Report,Breaking,General Public,Standard,Centrist or politically neutral,Medium,Negative,
article_034.pdf,https://apnews.com/article/north-korea-russia-putin-kim-jong-un-7c0300bcccee34019737095991ac40f5,apnews.com,Geopolitics,Report,Article,Informed Reader,Standard,Centrist or politically neutral,High,Neutral,Vladimir Putin:politician;Choe Son Hui:politician;Kim Jong Un:politician;Sergey Lavrov:politician;Xi Jinping:politician;Pak Thae Song:politician;Wang Huning:politician;Donald Trump:politician
article_035.pdf,https://apnews.com/article/pakistan-militant-attacks-military-operation-northwest-taliban-4c22904b312ff716b56d0da91a1a7354,apnews.com,Geopolitics,Report,Breaking,General Public,Standard,Centrist or politically neutral,Medium,Negative,Asif Ali Zardari:politician;Shehbaz Sharif:politician
article_036.pdf,https://apnews.com/article/philippines-south-china-sea-second-thomas-shoal-16650e191aaf373471720dbcba88b819,apnews.com,Geopolitics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Wang Yi:politician
article_037.pdf,https://apnews.com/article/russia-ukraine-war-drones-missiles-zelenskyy-f42baa61109fcb43b7efabf5334c4f50,apnews.com,Geopolitics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Volodymyr Zelenskyy:politician;Mykhailo Fedorov:politician;Oleksandr Syrskyi:politician;Vladimir Putin:politician;Sergei Sobyanin:politician;Andrei Vorobyov:politician;Alexander Shuvayev:politician;Bashar Assad:politician;Ahmad al-Sharaa:politician
article_038.pdf,https://apnews.com/article/somalia-pirates-yemen-tanker-827efb5b74d4aad62b4ff063420327e3,apnews.com,Geopolitics,Report,Breaking,General Public,Standard,Centrist or politically neutral,Low,Negative,
article_039.pdf,https://apnews.com/article/west-bank-israel-banks-cash-6b94c7ee9feb7f5dbc8dda30ca777da1,apnews.com,Geopolitics,Explainer,Feature,Informed Reader,Standard,Centrist or politically neutral,Medium,Negative,Mohammad Manasra:politician;Bezalel Smotrich:politician;Al-Huda Group:company;Hussni Jaber:executive
article_040.pdf,https://apnews.com/article/yemen-saudi-arabia-maritime-embargo-fd7c4a3911f7eee18251483fc8af768c,apnews.com,Geopolitics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Ali Khamenei:politician;Rystad Energy:company
article_041.pdf,https://www.npr.org/2026/07/14/nx-s1-5893438/venezuelas-democracy-delayed,npr.org,Geopolitics,Analysis,Feature,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Delcy Rodriguez:politician;Nicolas Maduro:politician;Maria Corina Machado:politician;Vladimir Villegas:politician;Edmundo Gonzalez:politician;Henry Alviarez:politician
article_042.pdf,https://www.healthline.com/health-news/are-wellness-peptide-injectables-safe,healthline.com,Lifestyle,Explainer,Feature,Informed Reader,Standard,Centrist or politically neutral,Low,Negative,Robert F. Kennedy Jr.:politician
article_043.pdf,https://www.healthline.com/health-news/dietary-guidelines-new-food-pyramid,healthline.com,Lifestyle,Analysis,Analysis,Informed Reader,Standard,Centrist or politically neutral,Medium,Neutral,Robert F. Kennedy Jr.:politician
article_044.pdf,https://www.healthline.com/health-news/wellness-stacking-self-care-trend-healthy-habits,healthline.com,Lifestyle,Report,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,Andrea Gleim:executive;Mindfully Mine Counseling Center:company;Serenium Therapy and Wellness:company;TikTok:company
article_045.pdf,https://www.healthline.com/health/benefits-of-journaling,healthline.com,Lifestyle,Guide,Article,General Public,Accessible,Centrist or politically neutral,Low,Positive,
article_046.pdf,https://www.healthline.com/health/festival-preparation,healthline.com,Lifestyle,Guide,Article,General Public,Accessible,Centrist or politically neutral,Low,Positive,
article_047.pdf,https://www.healthline.com/health/home-remedies,healthline.com,Lifestyle,Explainer,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,
article_048.pdf,https://www.healthline.com/health/tips-we-learned-from-our-mom,healthline.com,Lifestyle,Guide,Feature,General Public,Accessible,Centrist or politically neutral,Low,Positive,
article_049.pdf,https://www.healthline.com/nutrition/13-habits-linked-to-a-long-life,healthline.com,Lifestyle,Guide,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,
article_050.pdf,https://www.healthline.com/nutrition/benefits-of-dates,healthline.com,Lifestyle,Explainer,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,
article_051.pdf,https://www.healthline.com/nutrition/how-to-eat-healthy-guide,healthline.com,Lifestyle,Guide,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,
article_052.pdf,https://www.nbcnews.com/select/shopping/best-fitness-tracker-rcna353372,nbcnews.com,Lifestyle,Review,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,Garmin:company;Fitbit:company;Apple:company;Amazfit:company;Zepp:company;Google:company;Oura:company;Whoop:company
article_053.pdf,https://www.nbcnews.com/select/shopping/best-wellness-awards-products-2026-rcna264334,nbcnews.com,Lifestyle,Review,Article,General Public,Standard,Centrist or politically neutral,Low,Positive,Brooks:company;On:company;Nike:company;Quince:company;Stretch Your Story:company;Old Navy:company;Spanx:company;Offline by Aerie:company;Owala:company;Corkcicle:company;Therabody:company;Apple:company;Google:company;Oura:company;Suunto:company;Loop:company;Ozlo:company;Spotify:company;Hatch:company;Canopy:company;Lake Pajamas:company;Acaderma:company;Slip:company;Theraice:company;Opalescence:company;Colgate:company;Oral-B:company;Listerine:company;Waterpik:company;Crest:company
article_054.pdf,https://apnews.com/article/hungary-probe-byd-deal-szijjarto-2aaa8f568762e2cd92dd1c65bd3c59bd,apnews.com,Politics,Report,Article,Professional,Sophisticated,Center-left,High,Negative,Peter Szijjarto:politician;Peter Magyar:politician;Viktor Orban:politician;Sergey Lavrov:politician;BYD:company
article_055.pdf,https://www.cnbc.com/2026/07/17/economic-outlook-is-worsening-and-trump-is-getting-blamed-cnbc-survey-finds.html,www.cnbc.com,Politics,Report,Article,General Public,Standard,Centrist or politically neutral,High,Negative,Donald Trump:politician;Public Opinion Strategies:company;Hart Research:company
article_056.pdf,https://www.foxnews.com/opinion/sens-james-lankford-maggie-hassan-congress-suffer-shutdown-pain-american-people,www.foxnews.com,Politics,Opinion,Analysis,Informed Reader,Standard,Centrist or politically neutral,High,Negative,James Lankford:politician;Maggie Hassan:politician
article_057.pdf,https://www.foxnews.com/politics/2028-dem-hopefuls-torched-webinars-teaching-illegal-immigrants-defy-ice,www.foxnews.com,Politics,Report,Breaking,Informed Reader,Standard,Right-wing or conservative,High,Negative,Markwayne Mullin:politician;Alexandria Ocasio-Cortez:politician;Gavin Newsom:politician;Donald Trump:politician
article_058.pdf,https://www.foxnews.com/politics/biden-judge-overruled-key-trump-immigration-policy,www.foxnews.com,Politics,Report,Breaking,Informed Reader,Sophisticated,Right-wing or conservative,High,Positive,Donald Trump:politician;Justin Walker:politician;James Percival:politician
article_059.pdf,https://www.foxnews.com/politics/fox-news-poll-disapproval-ice-rise,www.foxnews.com,Politics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Donald Trump:politician;Markwayne Mullin:politician;Kristi Noem:politician
article_060.pdf,https://www.foxnews.com/politics/fox-news-poll-early-look-2026-midterms,www.foxnews.com,Politics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Neutral,Donald Trump:politician;Beacon Research:company;Shaw & Company Research:company
article_061.pdf,https://www.foxnews.com/politics/trump-reverses-dhs-policy-orders-ice-resume-vehicle-stops-after-one-day-pause,www.foxnews.com,Politics,Report,Breaking,General Public,Standard,Right-wing or conservative,High,Neutral,Donald Trump:politician
article_062.pdf,https://www.foxnews.com/politics/trump-scores-victory-despite-growing-gop-divide-senate-passes-70-billion-ice-border-patrol-funding-package,www.foxnews.com,Politics,Report,Breaking,Informed Reader,Standard,Center-right,High,Positive,Donald Trump:politician;Chuck Schumer:politician;John Thune:politician
article_063.pdf,https://www.foxnews.com/us/ice-makes-nationwide-arrests-illegal-immigrants-murderers-pedophiles-holiday-blitz,www.foxnews.com,Politics,Report,Breaking,General Public,Standard,Right-wing or conservative,High,Positive,Donald Trump:politician;Lauren Bis:politician
article_064.pdf,https://www.npr.org/2026/01/31/nx-s1-5694716/partial-government-shutdown,www.npr.org,Politics,Explainer,Article,General Public,Standard,Centrist or politically neutral,High,Neutral,
article_065.pdf,https://www.npr.org/2026/02/03/g-s1-108506/house-vote-end-government-shutdown,www.npr.org,Politics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Neutral,Donald Trump:politician
article_066.pdf,https://www.npr.org/2026/03/25/g-s1-115106/dhs-funding-tsa-congress-stalled,www.npr.org,Politics,Analysis,Analysis,Informed Reader,Standard,Centrist or politically neutral,High,Negative,Donald Trump:politician
article_067.pdf,https://www.npr.org/2026/04/01/nx-s1-5770566/dhs-shutdown-congress-republicans,www.npr.org,Politics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Neutral,Mike Johnson:politician;John Thune:politician;Donald Trump:politician
article_068.pdf,https://www.npr.org/2026/04/30/nx-s1-5806054/congress-dhs-shutdown,www.npr.org,Politics,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,High,Neutral,Mike Johnson:politician;John Thune:politician
article_069.pdf,https://www.npr.org/2026/05/24/nx-s1-5815007/religious-leaders-lawmakers-push-for-1-billion-to-secure-houses-of-worship,www.npr.org,Politics,Report,Article,Informed Reader,Standard,Centrist or politically neutral,High,Neutral,Josh Gottheimer:politician;Markwayne Mullin:politician;Kristi Noem:politician
article_070.pdf,https://www.npr.org/2026/07/15/nx-s1-5894580/trump-elections-primetime-address,www.npr.org,Politics,Report,Breaking,General Public,Standard,Center-left,High,Neutral,Donald Trump:politician;Joe Biden:politician
article_071.pdf,https://religionnews.com/2026/06/24/five-faith-leaders-on-what-it-means-to-belong-in-america/,religionnews.com,Religion,Report,Feature,General Public,Standard,Centrist or politically neutral,High,Neutral,Raphael Warnock:politician
article_072.pdf,https://religionnews.com/2026/06/30/trumps-religious-liberty-commission-publishes-draft-report-detailing-christian-persecution/,religionnews.com,Religion,Analysis,Analysis,Informed Reader,Standard,Center-left,High,Negative,Donald Trump:politician
article_073.pdf,https://religionnews.com/2026/07/15/if-the-church-doesnt-rise-up-for-the-disabled-who-will/,religionnews.com,Religion,Opinion,Analysis,Informed Reader,Sophisticated,Center-left,Medium,Negative,
article_074.pdf,https://www.npr.org/2026/02/16/nx-s1-5708761/ramadan-in-cairo-blends-the-old-and-the-new,www.npr.org,Religion,Explainer,Feature,General Public,Accessible,Centrist or politically neutral,Low,Positive,
article_075.pdf,https://www.npr.org/2026/03/17/nx-s1-5743984/mamdanis-public-observance-of-ramadan-highlights-islam-in-nyc,www.npr.org,Religion,Report,Feature,General Public,Standard,Center-left,High,Negative,Zohran Mamdani:politician;Tommy Tuberville:politician;Andy Ogles:politician;Donald Trump:politician
article_076.pdf,https://www.npr.org/2026/03/18/nx-s1-5751787/mamdani-put-ramadan-at-the-center-of-nycs-cultural-life-bringing-joy-and-a-backlash,www.npr.org,Religion,Report,Feature,General Public,Standard,Center-left,High,Negative,Zohran Mamdani:politician;Tommy Tuberville:politician;Andy Ogles:politician;Randy Fine:politician;Donald Trump:politician
article_077.pdf,https://www.npr.org/2026/05/09/nx-s1-5810635/the-aftermath-is-just-devastating-temple-israel-rebuilds-after-terror-attack,www.npr.org,Religion,Report,Feature,General Public,Standard,Centrist or politically neutral,Medium,Negative,
